gazetteer_title,stream_name,tributary_side,primary_county,origin,flow_description,destination_details,additional_data,canvas_fragment,image,current_alphabet_letter
Gazetteer of Surface Waters of Iowa,Caxlan Creek,Right,Clayton County,,"a small tributary to Turkey River, 3 miles long","Turkey River (tributary to the Mississippi), T. 91 N., R. 3 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0015#xywh=109,1326,2216,79",0015_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0015.jpg,C
Gazetteer of Surface Waters of Iowa,Cedar Branch,Right,Monroe County,"sec. 32, T. 72 N., R. 17 W.",flows northwest 7 miles into Cedar Creek,"Cedar Creek (tributary through Des Moines River to the Mississippi), sec. 35, T. 72 N., R. 18 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0015#xywh=107,1464,2214,81",0015_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0015.jpg,C
Gazetteer of Surface Waters of Iowa,Cedar Creek,Left,Calhoun County,"T. 89 N., R. 31 W.",flows south 27 miles into Raccoon River,"Raccoon River (tributary through Des Moines River to the Mississippi), T. 85 N., R. 32 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0015#xywh=215,1536,2108,74",0015_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0015.jpg,C
Gazetteer of Surface Waters of Iowa,Cedar Creek,Right,Clay County,"T. 94 N., R. 35 W.","flows east and southeast 11 miles through Rush Lake, Palo Alto County, into North Branch of Lizard Creek","North Branch of Lizard Creek (tributary through Lizard Creek to Des Moines River and thus to the Mississippi), T. 93 N., R. 33 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0015#xywh=110,1885,2219,73",0015_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0015.jpg,C
Gazetteer of Surface Waters of Iowa,Cedar Creek,Left,Des Moines County,"sec. 22, T. 72 N., R. 4 W.",flows south 9 miles into Flint River,"Flint River (tributary to the Mississippi), sec. 28, T. 71 N., R. 4 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0015#xywh=115,2166,2213,69",0015_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0015.jpg,C
Gazetteer of Surface Waters of Iowa,Cedar Creek,Right,Lucas County,"T. 71 N., R. 22 W.","flows northeast 18 miles, northwest 36 miles into Des Moines River","Des Moines River (tributary to the Mississippi), T. 75 N., R. 17 W.","Part of this creek is called Coal Creek on the Monroe County map, Iowa Geol. Survey Ann. Rept., vol. 13.","https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0015#xywh=117,2372,2211,74",0015_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0015.jpg,C
Gazetteer of Surface Waters of Iowa,Cedar Creek,Right,Madison County,"sec. 29, T. 76 N., R. 28 W.",flows east 15 miles into North River,"North River (tributary through Des Moines River to the Mississippi), sec. 9, T. 76 N., R. 26 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0015#xywh=117,2649,2214,74",0015_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0015.jpg,C
Gazetteer of Surface Waters of Iowa,Cedar Creek,Left,Mahaska County,"T. 77 N., R. 14 W.",flows southeast 18½ miles into North Skunk River,"North Skunk River (tributary through Skunk River to the Mississippi), sec. 15, T. 75 N., R. 12 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0015#xywh=221,2509,2110,76",0015_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0015.jpg,C
Gazetteer of Surface Waters of Iowa,Cedar Creek,Right,Mahaska County,"T. 74 N., R. 15 W.",flows southeast 64½ miles into Skunk River,"Skunk River (tributary to the Mississippi), T. 71 N., R. 7 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0015#xywh=122,3067,2216,74",0015_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0015.jpg,C
Gazetteer of Surface Waters of Iowa,Cedar Creek,Right,Pocahontas County,"T. 93 N., R. 34 W.",flows south 33 miles and southwest 6 miles into Raccoon River,"Raccoon River (tributary through Des Moines River to the Mississippi) 1 mile below Sac City, T. 88 N., R. 36 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0015#xywh=223,2107,1029,58",0015_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0015.jpg,C
Gazetteer of Surface Waters of Iowa,Cedar Creek,Right,Washington County,"T. 75 N., R. 9 W.",flows southeast 8 miles into West Fork of Crooked Creek,"West Fork of Crooked Creek (tributary through Crooked Creek to Skunk River and thus to the Mississippi), T. 75 N., R. 7 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0015#xywh=123,3479,2215,78",0015_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0015.jpg,C
Gazetteer of Surface Waters of Iowa,"Cedar Creek, East",Left,Calhoun County,"T. 89 N., R. 31 W.",flows south 21½ miles into Cedar Creek,"Cedar Creek (tributary through Iowa River to the Mississippi) in junction with West Cedar Creek, T. 87 N., R. 31 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0015#xywh=126,3684,2211,82",0015_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0015.jpg,C
Gazetteer of Surface Waters of Iowa,"Cedar Creek, Little",Right,Pocahontas County,"T. 93 N., R. 34 W.",flows south 22 miles into Cedar Creek,"Cedar Creek (tributary through Raccoon River to Des Moines River and thus to the Mississippi), T. 91 N., R. 34 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0015#xywh=128,3893,2209,80",0015_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0015.jpg,C
Gazetteer of Surface Waters of Iowa,"Cedar Creek, Little",Right,Van Buren County,"sec. 30, T. 70 N., R. 8 W.","flows southeast 9 miles and north 9 miles into Cedar Creek (tributary through Skunk River to the Mississippi) in Henry County, T. 70 N., R. 7 W.",Cedar Creek (tributary through Skunk River to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0016#xywh=377,330,2221,62",0016_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0016.jpg,C
Gazetteer of Surface Waters of Iowa,"Cedar Creek, Little",Right,Wapello County,"sec. 27, T. 73 N., R. 14 W.","flows east 8 miles into Cedar Creek (tributary through Iowa River to the Mississippi) in Wapello County, sec. 26, T. 73 N., R. 13 W.",Cedar Creek (tributary through Iowa River to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0016#xywh=379,540,2219,60",0016_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0016.jpg,C
Gazetteer of Surface Waters of Iowa,"Cedar Creek, North",Left,Lucas County,"T. 72 N., R. 20 W.","flows northeast 9 miles into Cedar Creek (tributary through Des Moines River to the Mississippi) in Marion County, T. 74 N., R. 18 W.",Cedar Creek (tributary through Des Moines River to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0016#xywh=379,748,2219,62",0016_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0016.jpg,C
Gazetteer of Surface Waters of Iowa,"Cedar Creek, West",Right,Calhoun County,"T. 89 N., R. 32 W.","flows south 19 miles into Cedar Creek (tributary through Iowa River to the Mississippi) in junction with East Cedar Creek in Calhoun County, T. 87 N., R. 31 W.",Cedar Creek (tributary through Iowa River to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0016#xywh=380,962,2219,55",0016_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0016.jpg,C
Gazetteer of Surface Waters of Iowa,Cedar River,Left,"Dodge County, Minn.","T. 105 N., R. 17 W.","flows south, entering Iowa in Mitchell County, T. 100 N., R. 18 W.; flows southeast and south 230 miles into Iowa River (tributary to the Mississippi) in Louisa County, T. 75 N., R. 4 W.",Iowa River (tributary to the Mississippi),"Gaging station at Cedar Rapids, 1902-1913. Water power is developed at ten localities. At Waverly a 9-foot head creates 280 horsepower; at Otranto station a 7-foot head creates 230 horsepower; at West Mitchell there are three plants—two with 7-foot heads, creating 60 horsepower each, and one with 7-foot head creating 75 horsepower; at Nashua a 10-foot head creates 250 horsepower; at Cedar Rapids a 6-foot head creates 300 horsepower; at Brownville a 9-foot head creates 60 horsepower; at Staceyville an 8-foot head creates 35 horsepower. There are also two plants (one at Osage and one at Ansgar) from which no data are available.","https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0016#xywh=379,1169,2219,60",0016_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0016.jpg,C
Gazetteer of Surface Waters of Iowa,"Cedar River, Little",Left,"Mower County, Minn.","sec. 9, T. 102 N., R. 16 W.","flows into Iowa in Mitchell County, T. 100 N., R. 16 W.; flows south 46 miles directly into Cedar River (tributary through Iowa River to the Mississippi) in Chickasaw County, T. 94 N., R. 14 W.",Cedar River (tributary through Iowa River to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0016#xywh=380,2015,2224,51",0016_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0016.jpg,C
Gazetteer of Surface Waters of Iowa,Chaboneau Creek,Right,Mills County,"T. 71 N., R. 43 W.",flows southeast 3 miles into Wabonsie Creek (tributary to Missouri River).,Wabonsie Creek (tributary to Missouri River),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0016#xywh=380,2294,2228,51",0016_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0016.jpg,C
Gazetteer of Surface Waters of Iowa,Chances Creek,Right,Ringgold County,"T. 69 N., R. 29 W.","flows south 3 miles into West Fork of Grand River in Ringgold County, T. 69 N., R. 29 W.",West Fork of Grand River,,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0016#xywh=380,2436,2226,51",0016_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0016.jpg,C
Gazetteer of Surface Waters of Iowa,Chariton River,Left,Clarke County,"T. 71 N., R. 25 W.","flows northeast 28 miles to Chariton and southeast 514 miles into the State of Missouri through Appanoose County, T. 67 N., R. 16 W., emptying into Missouri River.",Missouri River,,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0016#xywh=381,2576,2225,51",0016_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0016.jpg,C
Gazetteer of Surface Waters of Iowa,"Chariton River, South",Right,Wayne County,"sec. 17, T. 68 N., R. 22 W.","flows north 8 miles, east 14 miles, and northeast 11 miles into Chariton River (tributary to Missouri River) in Appanoose County, T. 70 N., R. 19 W.",Chariton River (tributary to Missouri River),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0016#xywh=381,2784,2225,53",0016_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0016.jpg,C
Gazetteer of Surface Waters of Iowa,Chequest Creek,Right,Davis County,"formed by the union of North and South forks in Davis County, T. 69 N., R. 12 W.","flows east 9 miles, northeast 6 miles, southeast 9 miles, and east 9 miles, into Des Moines River (tributary to the Mississippi) in Van Buren County, T. 69 N., R. 10 W.",Des Moines River (tributary to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0016#xywh=381,2995,2223,51",0016_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0016.jpg,C
Gazetteer of Surface Waters of Iowa,"Chequest Creek, North",Left,Davis County,"sec. 31, T. 70 N., R. 14 W.","flows 7 miles into Chequest Creek (tributary through Des Moines River to the Mississippi) in Davis County, T. 69 N., R. 12 W.",Chequest Creek (tributary through Des Moines River to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0016#xywh=381,3277,2225,51",0016_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0016.jpg,C
Gazetteer of Surface Waters of Iowa,"Chequest Creek, South",Right,Davis County,"T. 69 N., R. 13 W.","flows east 10 miles into Chequest Creek (tributary through Des Moines River to the Mississippi) in Davis County, sec. 12, T. 69 N., R. 12 W.",Chequest Creek (tributary through Des Moines River to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0016#xywh=384,3484,2223,55",0016_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0016.jpg,C
Gazetteer of Surface Waters of Iowa,Cherry Creek,Right,Clinton County,"T. 82 N., R. 4 E.","flows southeast 6 miles into Brophy Creek (tributary through Wapsipinicon River to the Mississippi) in Clinton County, sec. 17, T. 81 N., R. 5 E.",Brophy Creek (tributary through Wapsipinicon River to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0016#xywh=386,3691,2216,63",0016_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0016.jpg,C
Gazetteer of Surface Waters of Iowa,Cherry Creek,Left,Jasper County,"sec. 30, T. 81 N., R. 19 W.","flows south 12 miles into Skunk River (tributary to the Mississippi) in Jasper County, sec. 29, T. 79 N., R. 19 W.",Skunk River (tributary to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0016#xywh=388,3901,2216,61",0016_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0016.jpg,C
Gazetteer of Surface Waters of Iowa,Chicken Creek,Right,Marshall County,"sec. 19, T. 85 N., R. 18 W.","flows southeast 6 miles into Asher Creek (tributary through Iowa River to the Mississippi) in Marshall County, sec. 16, T. 84 N., R. 18 W.",Asher Creek (tributary through Iowa River to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017#xywh=96,351,2199,51",0017_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017.jpg,C
Gazetteer of Surface Waters of Iowa,Clanton Creek,Right,Madison County,"Macksburg, in T. 74 N., R. 29 W.","flows east 14 miles and northeast 16½ miles into Middle River (tributary through Des Moines River to the Mississippi) in Warren County, T. 76 N., R. 25 W.",Middle River (tributary through Des Moines River to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017#xywh=93,553,2202,62",0017_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017.jpg,C
Gazetteer of Surface Waters of Iowa,"Clanton Creek, South",Right,Madison County,"T. 74 N., R. 28 W.","flows east 10½ miles into Clanton Creek (tributary through Middle River to Des Moines River and thus to the Mississippi) in Madison County, sec. 15, T. 74 N., R. 27 W.",Clanton Creek (tributary through Middle River to Des Moines River and thus to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017#xywh=93,767,2202,51",0017_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017.jpg,C
Gazetteer of Surface Waters of Iowa,Clear Creek,Right,Boone County,"T. 84 N., R. 25 W.","flows southeast 8¼ miles into Squaw Creek (tributary through Skunk River to the Mississippi) 2 miles northwest of Ames, Story County, T. 83 N., R. 24 W.",Squaw Creek (tributary through Skunk River to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017#xywh=93,975,2202,51",0017_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017.jpg,C
Gazetteer of Surface Waters of Iowa,Clear Creek,Right,Cerro Gordo County,"Clear Lake, T. 96 N., R. 22 W.","flows east 10 miles into Lime Creek, sec. 3, T. 96 N., R. 20 W., at Mason City.",Lime Creek,(Called Crane Creek on map of Cerro Gordo County.),"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017#xywh=93,1184,2202,52",0017_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017.jpg,C
Gazetteer of Surface Waters of Iowa,Clear Creek,Right,Iowa County,"T. 80 N., R. 10 W.","flows east 24 miles into Iowa River (tributary to the Mississippi) 2 miles north of Iowa City in Johnson County, T. 79 N., R. 6 W.",Iowa River (tributary to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017#xywh=93,1393,2207,51",0017_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017.jpg,C
Gazetteer of Surface Waters of Iowa,Clear Creek,Left,Keokuk County,"T. 76 N., R. 10 W.","flows south 9 miles into Skunk River (tributary to the Mississippi) in Keokuk County, sec. 34, T. 75 N., R. 10 W.",Skunk River (tributary to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017#xywh=93,1600,2205,55",0017_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017.jpg,C
Gazetteer of Surface Waters of Iowa,Clear Creek,Right,Marshall County,"T. 83 N., R. 20 W.","flows southeast 16 miles into North Skunk River (tributary through Skunk River to the Mississippi) in Jasper County, T. 81 N., R. 21 W.",North Skunk River (tributary through Skunk River to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017#xywh=93,1812,2207,51",0017_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017.jpg,C
Gazetteer of Surface Waters of Iowa,Clear Creek,Right,Plymouth County,"T. 92 N., R. 43 W.","flows south 19 miles into West Fork of Little Sioux River (tributary through Little Sioux River to the Missouri) in Plymouth County, T. 90 N., R. 44 W.",West Fork of Little Sioux River (tributary through Little Sioux River to the Missouri),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017#xywh=93,2020,2209,52",0017_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017.jpg,C
Gazetteer of Surface Waters of Iowa,Clear Creek,Left,Story County,"T. 83 N., R. 21 W.","flows southeast 8 miles, south 10 miles, and southwest 4 miles into Indian Creek (tributary through Skunk River to the Mississippi) in Jasper County, T. 80 N., R. 21 W.",Indian Creek (tributary through Skunk River to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017#xywh=194,1116,1420,49",0017_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017.jpg,C
Gazetteer of Surface Waters of Iowa,Clemons Creek,Right,Washington County,"sec. 6, T. 75 N., R. 8 W.",flows southeast 6 miles into Crooked Creek (tributary through Skunk River to the Mississippi).,Crooked Creek (tributary through Skunk River to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017#xywh=93,2438,2207,52",0017_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017.jpg,C
Gazetteer of Surface Waters of Iowa,Cloie Branch,Right,Dubuque County,"T. 89 N., R. 2 E.","flows northeast 4 miles into Little Maquoketa River (tributary to the Mississippi) in Dubuque County, T. 89 N., R. 3 E.",Little Maquoketa River (tributary to the Mississippi),"Total fall, about 200 feet.","https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017#xywh=93,2648,2209,51",0017_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017.jpg,C
Gazetteer of Surface Waters of Iowa,Coal Creek,Left,Keokuk County,"sec. 8, T. 76 N., R. 13 W.","flows southeast 6½ miles into Cedar Creek (tributary through North Skunk River to Skunk River and thus to the Mississippi) in Keokuk County, sec. 36, T. 76 N., R. 13 W.",Cedar Creek (tributary through North Skunk River to Skunk River and thus to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017#xywh=93,2855,2214,51",0017_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017.jpg,C
Gazetteer of Surface Waters of Iowa,Coal Creek,Right,Mahaska County,"T. 74 N., R. 17 W.","flows northeast 7 miles into Des Moines River (tributary to the Mississippi) in Mahaska County, T. 74 N., R. 17 W.",Des Moines River (tributary to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017#xywh=93,3065,2209,51",0017_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017.jpg,C
Gazetteer of Surface Waters of Iowa,Coal Creek,Right,Monroe County,"sec. 17, T. 71 N., R. 17 W.","flows northeast and northwest 7 miles into Cedar Creek (tributary through Des Moines River to the Mississippi) in sec. 18, T. 72 N., R. 17 W.",Cedar Creek (tributary through Des Moines River to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017#xywh=93,3273,2209,51",0017_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017.jpg,C
Gazetteer of Surface Waters of Iowa,Coal Creek,Right,Warren County,"T. 75 N., R. 22 W.","flows northeast 10 miles and north 11 miles into South River (tributary through Des Moines River to the Mississippi) in Warren County, T. 77 N., R. 22 W.",South River (tributary through Des Moines River to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017#xywh=200,698,1984,51",0017_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017.jpg,C
Gazetteer of Surface Waters of Iowa,"Coal Creek, South",Right,Mahaska County,"T. 74 N., R. 17 W.","flows northeast 6¼ miles into Coal Creek (tributary through Des Moines River to the Mississippi) in Mahaska County, T. 74 N., R. 17 W.",Coal Creek (tributary through Des Moines River to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017#xywh=100,3687,2202,52",0017_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017.jpg,C
Gazetteer of Surface Waters of Iowa,Coates Creek,Left,Van Buren County,"sec. 6, T. 69 N., R. 8 W.","flows south 8 miles into Des Moines River (tributary to the Mississippi) in Van Buren County, sec. 8, T. 68 N., R. 8 W.",Des Moines River (tributary to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017#xywh=102,3897,2198,52",0017_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0017.jpg,C
Gazetteer of Surface Waters of Iowa,Cold Water Creek,Right,Cerro Gordo County,"sec. 7, T. 94 N., R. 19 W.","flows southeast 24 miles into Shellrock River (tributary through Cedar River to Iowa River and thus to the Mississippi) in Butler County, T. 93 N., R. 16 W.",Shellrock River,,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0018#xywh=413,328,2211,60",0018_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0018.jpg,C
Gazetteer of Surface Waters of Iowa,College Creek,Right,Story County,"sec. 7, T. 83 N., R. 24 W.","flows northeast 3 miles and southeast 24 miles into Squaw Creek (tributary through Skunk River to the Mississippi) in Story County, sec. 3, T. 83 N., R. 24 W.",Squaw Creek,,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0018#xywh=409,540,2222,55",0018_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0018.jpg,C
Gazetteer of Surface Waters of Iowa,Competine Creek,Left,Keokuk County,"T. 74 N., R. 12 W.","flows southeast 6 miles into Cedar Creek (tributary through Skunk River to the Mississippi) in Jefferson County, T. 72 N., R. 11 W.",Cedar Creek,,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0018#xywh=409,753,2218,52",0018_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0018.jpg,C
Gazetteer of Surface Waters of Iowa,"Competine Creek, East",Left,Jefferson County,"T. 73 N., R. 11 W.","flows south 9 miles into West Competine Creek (tributary through Cedar Creek to Skunk River and thus to the Mississippi) in Jefferson County, sec. 21, T. 72 N., R. 11 W.",West Competine Creek,,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0018#xywh=409,962,2215,52",0018_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0018.jpg,C
