date,description,amount,transaction_type,record_type,section_title,year,canvas_fragment,image
"April 27, 1898",Ck.,1.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
,Amt.,411.04,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
,Total,999.30,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
,Amt.,411.04,withdrawal,Bank Ledger,CR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006#xywh=904,222,135,57",0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
"May 5, 1898",85,0.85,withdrawal,Bank Ledger,CR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006#xywh=727,271,134,69",0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
"May 13, 1898",5 00,5.00,withdrawal,Bank Ledger,CR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006#xywh=758,313,32,27",0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
"May 16, 1898",5 00,5.00,withdrawal,Bank Ledger,CR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006#xywh=1260,272,72,38",0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
"May 17, 1898",25 00,25.00,withdrawal,Bank Ledger,CR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006#xywh=752,346,32,29",0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
"June 1, 1898",20 00,20.00,withdrawal,Bank Ledger,CR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006#xywh=731,386,113,64",0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
"June 8, 1898",10 00,10.00,withdrawal,Bank Ledger,CR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006#xywh=1215,304,110,32",0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
"June 13, 1898",5 00,5.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006,0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
"June 14, 1898",32 00,32.00,withdrawal,Bank Ledger,CR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006#xywh=1195,410,133,27",0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
"June 16, 1898",12 24,12.24,withdrawal,Bank Ledger,CR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006#xywh=1201,441,131,28",0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
"June 16, 1898",225 00,225.00,withdrawal,Bank Ledger,CR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006#xywh=1213,475,122,26",0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
"June 18, 1898",8 75,8.75,withdrawal,Bank Ledger,CR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006#xywh=1212,600,122,32",0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
"June 18, 1898",12 00,12.00,withdrawal,Bank Ledger,CR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006#xywh=1189,636,137,33",0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
"June 21, 1898",10 00,10.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006,0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
"June 29, 1898",2 00,2.00,withdrawal,Bank Ledger,CR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006#xywh=1183,375,150,29",0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
"June 29, 1898",25 00,25.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006,0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
"June 30, 1898",40 00,40.00,withdrawal,Bank Ledger,CR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006#xywh=1192,772,132,26",0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
"July 1, 1898",130 00,130.00,withdrawal,Bank Ledger,CR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006#xywh=1176,802,151,27",0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
"July 5, 1898",8 00,8.00,withdrawal,Bank Ledger,CR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006#xywh=1217,840,107,19",0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
"July 12, 1898",Balance,146.21,withdrawal,Bank Ledger,CR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006#xywh=797,843,272,58",0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
1898,Total Amount,1133.09,withdrawal,Bank Ledger,CR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006#xywh=801,577,32,22",0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
"July 15, 1898",ck,146.60,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006,0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
"July 20, 1898",ck,20.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006,0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
"July 28, 1898",ck,30.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006,0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
"August 23, 1898",ck,5.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006,0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
,Amt.,201.60,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006,0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
1898,Amt.,887.59,deposit,Bank Ledger,DR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006,0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
"June 29, 1898",ck,51.00,deposit,Bank Ledger,DR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006,0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
"July 12, 1898",Brooks,23.00,deposit,Bank Ledger,DR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006#xywh=1185,498,150,42",0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
"July 12, 1898",ck,171.50,deposit,Bank Ledger,DR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006,0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
1898,Total Amount,1133.09,deposit,Bank Ledger,DR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006,0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
"July 12, 1898",Bal. S. R.,146.21,deposit,Bank Ledger,DR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006#xywh=763,603,90,31",0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
"July 15, 1898",ck,20.39,deposit,Bank Ledger,DR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006,0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
"July 15, 1898",Amt.,166.60,deposit,Bank Ledger,DR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0006,0006_service:mss:mss11879:mss11879-42:42001:0006.jpg
,Amt.,166.60,deposit,Bank Ledger,DR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007#xywh=71,258,297,75",0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"July 22, 1898",Disct,30.00,deposit,Bank Ledger,DR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007#xywh=91,326,335,72",0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Aug 8, 1898",C.,30.00,deposit,Bank Ledger,DR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"June 8, 1899",C,328.00,deposit,Bank Ledger,DR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Sept. 16, 1898",C,19.00,deposit,Bank Ledger,DR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007#xywh=82,534,293,57",0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Sept. 19, 1898",Dis,50.00,deposit,Bank Ledger,DR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007#xywh=721,357,166,80",0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Sept. 27, 1898",C,120.00,deposit,Bank Ledger,DR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Oct. 10, 1898",Brooks,25.00,deposit,Bank Ledger,DR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007#xywh=84,728,332,50",0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Nov. 7, 1898",C,25.00,deposit,Bank Ledger,DR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Nov. 14, 1898",Brooks,23.00,deposit,Bank Ledger,DR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Feb. 2, 1899",,456.02,deposit,Bank Ledger,DR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
,Amt.,1272.62,deposit,Bank Ledger,DR,1899,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007#xywh=488,266,182,52",0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
,Amt.,201.60,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Aug. 29, 1898",ck.,5.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Aug. 31, 1898",ck.,7.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Sept. 19, 1898",ck.,2.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Sept. 21, 1898",ck.,10.50,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Sept. 22, 1898",ck.,50.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Oct. 1, 1898",ck.,5.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Oct. 5, 1898",ck.,0.50,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Oct. 8, 1898",ck.,7.25,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Oct. 10, 1898",ck.,2.85,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Oct. 10, 1898",ck.,3.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Oct. 11, 1898",ck.,4.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Oct. 12, 1898",ck.,25.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Oct. 12, 1898",ck.,2.75,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Oct. 20, 1898",ck.,7.17,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Oct. 21, 1898",ck.,7.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Oct. 21, 1898",ck.,20.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Nov. 2, 1898",ck.,10.00,withdrawal,Bank Ledger,CR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007#xywh=747,842,130,34",0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Nov. 14, 1898",ck.,25.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Nov. 17, 1898",ck.,23.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Nov. 21, 1898",ck.,6.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Feb. 2, 1899",ck.,55.00,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Feb. 10, 1899",ck.,213.05,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Feb. 20, 1899",ck.,15.00,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Feb. 20, 1899",ck.,12.48,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
"Feb. 25, 1899",ck.,15.00,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
,Amt.,800.15,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0007,0007_service:mss:mss11879:mss11879-42:42001:0007.jpg
1899,Amt.,1272.62,deposit,Bank Ledger,DR,1899,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0008#xywh=747,267,118,38",0008_service:mss:mss11879:mss11879-42:42001:0008.jpg
1899,Amt.,800.15,withdrawal,Bank Ledger,CR,1899,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0008#xywh=475,252,234,47",0008_service:mss:mss11879:mss11879-42:42001:0008.jpg
"March 18, 1899",ck.,5.00,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0008,0008_service:mss:mss11879:mss11879-42:42001:0008.jpg
"March 25, 1899",ck.,5.00,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0008,0008_service:mss:mss11879:mss11879-42:42001:0008.jpg
"April 8, 1899",ck.,1.00,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0008,0008_service:mss:mss11879:mss11879-42:42001:0008.jpg
"April 10, 1899",ck.,13.00,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0008,0008_service:mss:mss11879:mss11879-42:42001:0008.jpg
"April 21, 1899",ck.,10.00,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0008,0008_service:mss:mss11879:mss11879-42:42001:0008.jpg
"April 28, 1899",ck.,5.75,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0008,0008_service:mss:mss11879:mss11879-42:42001:0008.jpg
"May 5, 1899",ck.,2.00,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0008,0008_service:mss:mss11879:mss11879-42:42001:0008.jpg
"May 8, 1899",ck.,2.00,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0008,0008_service:mss:mss11879:mss11879-42:42001:0008.jpg
"May 9, 1899",ck.,18.00,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0008,0008_service:mss:mss11879:mss11879-42:42001:0008.jpg
"February 10, 1899",ck.,5.00,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0008,0008_service:mss:mss11879:mss11879-42:42001:0008.jpg
"May 25, 1899",ck.,10.75,withdrawal,Bank Ledger,CR,1899,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0008#xywh=742,636,162,76",0008_service:mss:mss11879:mss11879-42:42001:0008.jpg
"June 10, 1899",ck.,163.00,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0008,0008_service:mss:mss11879:mss11879-42:42001:0008.jpg
"July 13, 1899",ck.,35.00,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0008,0008_service:mss:mss11879:mss11879-42:42001:0008.jpg
"July 22, 1899",ck.,6.00,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0008,0008_service:mss:mss11879:mss11879-42:42001:0008.jpg
"July 22, 1899",ck.,35.00,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0008,0008_service:mss:mss11879:mss11879-42:42001:0008.jpg
"July 24, 1899",ck.,5.00,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0008,0008_service:mss:mss11879:mss11879-42:42001:0008.jpg
"July 26, 1899",ck.,1.69,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0008,0008_service:mss:mss11879:mss11879-42:42001:0008.jpg
"August 22, 1899",ck.,7.50,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0008,0008_service:mss:mss11879:mss11879-42:42001:0008.jpg
"August 22, 1899",ck.,10.00,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0008,0008_service:mss:mss11879:mss11879-42:42001:0008.jpg
"September 7, 1899",Balance,131.78,withdrawal,Bank Ledger,CR,1899,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0008#xywh=1194,954,50,18",0008_service:mss:mss11879:mss11879-42:42001:0008.jpg
1899,Total Amount,1272.62,withdrawal,Bank Ledger,CR,1899,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0008#xywh=1127,996,210,37",0008_service:mss:mss11879:mss11879-42:42001:0008.jpg
"September 7, 1899",Bal. V.R.,131.78,deposit,Bank Ledger,DR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0008,0008_service:mss:mss11879:mss11879-42:42001:0008.jpg
1899,Amt.,131.78,deposit,Bank Ledger,DR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0008,0008_service:mss:mss11879:mss11879-42:42001:0008.jpg
"September 22, 1899",ck.,10.50,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0008,0008_service:mss:mss11879:mss11879-42:42001:0008.jpg
"September 30, 1899",ck.,15.15,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0008,0008_service:mss:mss11879:mss11879-42:42001:0008.jpg
1899,Amt,25.65,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0008,0008_service:mss:mss11879:mss11879-42:42001:0008.jpg
1899,Amt,131.78,deposit,Bank Ledger,DR,1899,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0009#xywh=115,279,327,59",0009_service:mss:mss11879:mss11879-42:42001:0009.jpg
"Dec 11, 1899",dep.,122.74,deposit,Bank Ledger,DR,1899,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0009#xywh=122,351,266,58",0009_service:mss:mss11879:mss11879-42:42001:0009.jpg
"Dec 22, 1899",dep.,21.37,deposit,Bank Ledger,DR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0009,0009_service:mss:mss11879:mss11879-42:42001:0009.jpg
"May 24, 1900",dep.,210.00,deposit,Bank Ledger,DR,1900,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0009#xywh=1191,577,183,72",0009_service:mss:mss11879:mss11879-42:42001:0009.jpg
"July 9, 1900",dep.,189.45,deposit,Bank Ledger,DR,1900,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0009#xywh=1258,646,98,26",0009_service:mss:mss11879:mss11879-42:42001:0009.jpg
"Aug 7, 1900",dep.,625.00,deposit,Bank Ledger,DR,1900,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0009#xywh=916,1164,175,37",0009_service:mss:mss11879:mss11879-42:42001:0009.jpg
,Total Amount,1300.34,deposit,Bank Ledger,DR,1900,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0009#xywh=502,289,205,52",0009_service:mss:mss11879:mss11879-42:42001:0009.jpg
1899,Amt.,25.65,withdrawal,Bank Ledger,CR,1899,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0009#xywh=1137,1177,219,41",0009_service:mss:mss11879:mss11879-42:42001:0009.jpg
"Oct 7, 1899",ck.,10.00,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0009,0009_service:mss:mss11879:mss11879-42:42001:0009.jpg
"Oct 14, 1899",ck.,6.00,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0009,0009_service:mss:mss11879:mss11879-42:42001:0009.jpg
"Oct 20, 1899",ck.,2.50,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0009,0009_service:mss:mss11879:mss11879-42:42001:0009.jpg
"Oct 30, 1899",ck.,21.20,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0009,0009_service:mss:mss11879:mss11879-42:42001:0009.jpg
"Oct 31, 1899",ck.,5.00,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0009,0009_service:mss:mss11879:mss11879-42:42001:0009.jpg
"Nov 21, 1899",ck.,1.02,withdrawal,Bank Ledger,CR,1899,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0009#xywh=759,506,149,27",0009_service:mss:mss11879:mss11879-42:42001:0009.jpg
"Dec 11, 1899",ck.,2.00,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0009,0009_service:mss:mss11879:mss11879-42:42001:0009.jpg
"Dec 13, 1899",ck.,7.75,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0009,0009_service:mss:mss11879:mss11879-42:42001:0009.jpg
"Dec 16, 1899",ck.,165.00,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0009,0009_service:mss:mss11879:mss11879-42:42001:0009.jpg
"Dec 22, 1899",ck.,6.00,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0009,0009_service:mss:mss11879:mss11879-42:42001:0009.jpg
"Dec 26, 1899",ck.,4.75,withdrawal,Bank Ledger,CR,1899,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0009,0009_service:mss:mss11879:mss11879-42:42001:0009.jpg
